"Period","Artist","count","rank"
"Abstract Expressionism","Henri Matisse",130,1
"Abstract Expressionism","Pierre Bonnard",116,2
"Abstract Expressionism","Frank Lloyd Wright",107,3
"Abstract Expressionism","Lilly Reich",89,4
"Abstract Expressionism","Émile Bernard",69,5
"Abstract Expressionism","Georges Rouault",68,6
"Abstract Expressionism","Raoul Dufy",64,7
"Abstract Expressionism","André Derain",59,8
"Abstract Expressionism","Maurice Denis",55,9
"Abstract Expressionism","Aristide Maillol",54,10
"Contemporary Art","Louise Bourgeois",381,1
"Contemporary Art","Ellsworth Kelly",144,2
"Contemporary Art","Sol LeWitt",75,3
"Contemporary Art","Frédéric Bruly Bouabré",70,4
"Contemporary Art","Robert Rauschenberg",41,5
"Contemporary Art","Christian Boltanski",37,6
"Contemporary Art","Antonio Frasconi",36,7
"Contemporary Art","Henri Cartier-Bresson",32,8
"Contemporary Art","Marianne Wex",31,9
"Contemporary Art","Eduardo Paolozzi",29,10
"Cubism/Futurism","Eadweard J. Muybridge",29,1
"Cubism/Futurism","Odilon Redon",26,2
"Cubism/Futurism","Olga Rozanova",26,3
"Cubism/Futurism","Henri de Toulouse-Lautrec",25,4
"Cubism/Futurism","José-Guadalupe Posada",24,5
"Cubism/Futurism","Felice Beato",12,6
"Cubism/Futurism","George N. Barnard",10,7
"Cubism/Futurism","Alfred Jarry",6,8
"Cubism/Futurism","Auguste Rodin",6,9
"Cubism/Futurism","Hugo van Werden",5,10
"Dada/Surrealism","Eugène Atget",592,1
"Dada/Surrealism","Jules Pascin",40,2
"Dada/Surrealism","John Thomson",36,3
"Dada/Surrealism","Lovis Corinth",28,4
"Dada/Surrealism","Ernst Ludwig Kirchner",18,5
"Dada/Surrealism","Doris Ulmann",16,6
"Dada/Surrealism","Théophile-Alexandre Steinlen",15,7
"Dada/Surrealism","Theo van Doesburg",11,8
"Dada/Surrealism","Arthur B. Davies",10,9
"Dada/Surrealism","Ernst Barlach",10,10
"Pop Art/Minimalism","Ludwig Mies van der Rohe",332,1
"Pop Art/Minimalism","Pablo Picasso",177,2
"Pop Art/Minimalism","George Maciunas",97,3
"Pop Art/Minimalism","August Sander",96,4
"Pop Art/Minimalism","Walker Evans",48,5
"Pop Art/Minimalism","Dorothea Lange",47,6
"Pop Art/Minimalism","Alexander Calder",34,7
"Pop Art/Minimalism","Max Ernst",33,8
"Pop Art/Minimalism","Jacques Villon",29,9
"Pop Art/Minimalism","Frans Masereel",27,10
"Postmodernism/Y2K Resurgence","Jean Dubuffet",170,1
"Postmodernism/Y2K Resurgence","Marc Chagall",152,2
"Postmodernism/Y2K Resurgence","Joan Miró",60,3
"Postmodernism/Y2K Resurgence","Garry Winogrand",42,4
"Postmodernism/Y2K Resurgence","Ansel Adams",39,5
"Postmodernism/Y2K Resurgence","Alighiero Boetti",35,6
"Postmodernism/Y2K Resurgence","André Masson",35,7
"Postmodernism/Y2K Resurgence","Andy Warhol",34,8
"Postmodernism/Y2K Resurgence","Martin Kippenberger",30,9
"Postmodernism/Y2K Resurgence","Robert Motherwell",29,10
"Realism/Impressionism","Alfred Capel Cure",24,1
"Realism/Impressionism","Francis Frith",22,2
"Realism/Impressionism","David Octavius Hill",18,3
"Realism/Impressionism","Edward Burne-Jones",15,4
"Realism/Impressionism","Mathew B. Brady (studio of)",10,5
"Realism/Impressionism","Charles Nègre",9,6
"Realism/Impressionism","Gustave Doré",9,7
"Realism/Impressionism","Maxime Du Camp",7,8
"Realism/Impressionism","Édouard Manet",6,9
"Realism/Impressionism","Thomas Annan",5,10
"Romanticism","Thomas Bewick",34,1
"Romanticism","Francisco de Goya",25,2
