Period,Country,ArtworkCount
Abstract Expressionism,France,822
Abstract Expressionism,United States of America,533
Abstract Expressionism,Germany,214
Abstract Expressionism,Russia,110
Abstract Expressionism,United Kingdom,36
Abstract Expressionism,Czechia,24
Abstract Expressionism,Mexico,19
Abstract Expressionism,Belgium,18
Abstract Expressionism,Italy,13
Abstract Expressionism,Netherlands,13
Contemporary Art,United States of America,1675
Contemporary Art,Germany,133
Contemporary Art,France,116
Contemporary Art,United Kingdom,86
Contemporary Art,Ivory Coast,70
Contemporary Art,Italy,62
Contemporary Art,Japan,62
Contemporary Art,Argentina,53
Contemporary Art,Mexico,41
Contemporary Art,Switzerland,38
Cubism/Futurism,France,93
Cubism/Futurism,United States of America,55
Cubism/Futurism,Russia,27
Cubism/Futurism,Mexico,24
Cubism/Futurism,Germany,15
Cubism/Futurism,Italy,14
Cubism/Futurism,Austria,5
Cubism/Futurism,Canada,3
Cubism/Futurism,United Kingdom,2
Cubism/Futurism,Belgium,1
Dada/Surrealism,France,644
Dada/Surrealism,United States of America,113
Dada/Surrealism,Germany,101
Dada/Surrealism,United Kingdom,45
Dada/Surrealism,Netherlands,13
Dada/Surrealism,Russia,13
Dada/Surrealism,Latvia,5
Dada/Surrealism,Austria,3
Dada/Surrealism,Spain,3
Dada/Surrealism,Czechia,2
Pop Art/Minimalism,United States of America,1065
Pop Art/Minimalism,France,264
Pop Art/Minimalism,Germany,212
Pop Art/Minimalism,Spain,177
Pop Art/Minimalism,Italy,54
Pop Art/Minimalism,Russia,43
Pop Art/Minimalism,Belgium,39
Pop Art/Minimalism,Switzerland,25
Pop Art/Minimalism,Mexico,24
Pop Art/Minimalism,Netherlands,24
Pop Art/Minimalism,United Kingdom,24
Postmodernism/Y2K Resurgence,United States of America,866
Postmodernism/Y2K Resurgence,France,465
Postmodernism/Y2K Resurgence,Germany,114
Postmodernism/Y2K Resurgence,Spain,85
Postmodernism/Y2K Resurgence,Italy,78
Postmodernism/Y2K Resurgence,United Kingdom,73
Postmodernism/Y2K Resurgence,Switzerland,61
Postmodernism/Y2K Resurgence,Brazil,36
Postmodernism/Y2K Resurgence,Russia,32
Postmodernism/Y2K Resurgence,Venezuela,26
Realism/Impressionism,United Kingdom,97
Realism/Impressionism,France,60
Realism/Impressionism,United States of America,20
Realism/Impressionism,Austria,1
Realism/Impressionism,Netherlands,1
Romanticism,United Kingdom,34
Romanticism,Spain,25
