"Artist","Gender","ArtworkCount"
"Eugène Atget","Male",592
"Louise Bourgeois","Female",381
"Ludwig Mies van der Rohe","Male",332
"Pablo Picasso","Male",177
"Jean Dubuffet","Male",170
"Marc Chagall","Male",152
"Ellsworth Kelly","Male",144
"Henri Matisse","Male",130
"Pierre Bonnard","Male",116
"Frank Lloyd Wright","Male",107
"George Maciunas","Male",97
"August Sander","Male",96
"Lilly Reich","Female",89
"Sol LeWitt","Male",75
"Frédéric Bruly Bouabré","Male",70
"Émile Bernard","Male",69
"Georges Rouault","Male",68
"Raoul Dufy","Male",64
"Joan Miró","Male",60
"André Derain","Male",59
"Maurice Denis","Male",55
"Aristide Maillol","Male",54
"Walker Evans","Male",48
"Dorothea Lange","Female",47
"Garry Winogrand","Male",42
"Robert Rauschenberg","Male",41
"Jules Pascin","Male",40
"Ansel Adams","Male",39
"Christian Boltanski","Male",37
"Antonio Frasconi","Male",36
"John Thomson","Male",36
"Alighiero Boetti","Male",35
"André Masson","Male",35
"Aleksandr Rodchenko","Male",34
"Alexander Calder","Male",34
"Andy Warhol","Male",34
"Thomas Bewick","Male",34
"Max Ernst","Male",33
"Henri Cartier-Bresson","Male",32
"E. McKnight Kauffer","Male",31
"Fernand Léger","Male",31
"Marianne Wex","Female",31
"George Grosz","Male",30
"Martin Kippenberger","Male",30
"Eadweard J. Muybridge","Male",29
"Eduardo Paolozzi","Male",29
"Jacques Villon","Male",29
"León Ferrari","Male",29
"Robert Motherwell","Male",29
"Edward Weston","Male",28
